state,year,gdp,population,education_spending
California,2000,1000,33000000,50000
California,2001,1050,33500000,52000
California,2002,1100,34000000,54000
California,2003,1150,34500000,56000
California,2004,1200,35000000,58000
California,2005,1250,35500000,60000
California,2006,1280,36000000,62000
California,2007,1300,36500000,64000
California,2008,1280,37000000,63000
California,2009,1220,37500000,61000
California,2010,1250,38000000,62000
Texas,2000,800,20000000,35000
Texas,2001,820,20500000,36000
Texas,2002,850,21000000,37000
Texas,2003,880,21500000,38000
Texas,2004,910,22000000,39000
Texas,2005,940,22500000,40000
Texas,2006,970,23000000,41000
Texas,2007,1000,23500000,42000
Texas,2008,980,24000000,41500
Texas,2009,950,24500000,41000
Texas,2010,970,25000000,42000
Florida,2000,600,15000000,25000
Florida,2001,620,15500000,26000
Florida,2002,640,16000000,27000
Florida,2003,660,16500000,28000
Florida,2004,680,17000000,29000
Florida,2005,700,17500000,30000
Florida,2006,720,18000000,31000
Florida,2007,740,18500000,32000
Florida,2008,720,19000000,31500
Florida,2009,690,19500000,30500
Florida,2010,710,20000000,31500
NewYork,2000,900,18000000,45000
NewYork,2001,920,18200000,46000
NewYork,2002,940,18400000,47000
NewYork,2003,960,18600000,48000
NewYork,2004,980,18800000,49000
NewYork,2005,1000,19000000,50000
NewYork,2006,1020,19200000,51000
NewYork,2007,1040,19400000,52000
NewYork,2008,1020,19600000,51500
NewYork,2009,990,19800000,50500
NewYork,2010,1010,20000000,51500
